period,org_code,org_name,ae_attendances_type_1,attendances_over_4hrs_type_1,patients_12hr_wait,emergency_admissions_type_1
,Y02532,MIRIAM MINOR EMERGENCY,0.0,0.0,0,0
,Y03051,HASTINGS MED P & WALKIN,0.0,0.0,0,0
,AAH,TETBURY HOSPITAL TRUST LTD,0.0,0.0,0,0
,C82010,OAKHAM MEDICAL PRACTICE,0.0,0.0,0,0
,C82038,LATHAM HOUSE MEDICAL PRACTICE,0.0,0.0,0,0
,NDJ,FIRST COMMUNITY HEALTH AND CARE CIC,0.0,0.0,0,0
,NQT10,ASSURA READING LLP,0.0,0.0,0,0
,NQT5F,SKELMERSDALE WALK IN CENTRE,0.0,0.0,0,0
,NQT5H,PAULTON MEMORIAL HOSPITAL,0.0,0.0,0,0
,RET,THE WALTON CENTRE NHS FOUNDATION TRUST,0.0,0.0,0,0
,Y00751,EAST BERKS PRIMARY CARE OOH(WAM),0.0,0.0,0,0
,Y02147,URGENT CARE CENTRE (QMS),0.0,0.0,0,0
,Y02428,PUTNOE MEDICAL CENTRE WALK IN CENTRE,0.0,0.0,0,0
,Y02676,BRIGHTON STATION HEALTH CENTRE,0.0,0.0,0,0
,8J094,BADGER LTD,0.0,0.0,0,0
,AD913,BECKENHAM BEACON UCC,0.0,0.0,0,0
,NL7,ASSURA VERTIS URGENT CARE CENTRES (BIRMINGHAM),0.0,0.0,0,0
,NQTE4,SUMMERFIELD URGENT CARE CENTRE,0.0,0.0,0,0
,Y03007,ERDINGTON GP HEALTH & WELLBEING WIC,0.0,0.0,0,0
,AJN,WORKINGTON HEALTH LIMITED,0.0,0.0,0,0
,AQN04,PHL LYMINGTON UTC,0.0,0.0,0,0
,L83087,OKEHAMPTON MEDICAL CENTRE,0.0,0.0,0,0
,NNJ,DHU HEALTH CARE C.I.C,0.0,0.0,0,0
,RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,0.0,0.0,0,0
,RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,0.0,0.0,0,0
,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,5823.0,3333.0,404,2130
,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,7657.0,0.0,0,2565
,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,8586.0,0.0,0,2431
,RY4,HERTFORDSHIRE COMMUNITY NHS TRUST,0.0,0.0,0,0
,RY9,HOUNSLOW AND RICHMOND COMMUNITY HEALTHCARE NHS TRUST,0.0,0.0,0,0
,DD401,EXMOUTH MINOR INJURY UNIT,0.0,0.0,0,0
,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,12621.0,4308.0,0,4490
,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,4293.0,1242.0,3,1114
,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,6213.0,1239.0,0,1514
,RNU,OXFORD HEALTH NHS FOUNDATION TRUST,0.0,0.0,0,0
,RW1,SOUTHERN HEALTH NHS FOUNDATION TRUST,0.0,0.0,0,0
,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,15142.0,3639.0,2,3045
,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,6129.0,2124.0,0,1909
,NJS05,LOUGHBOROUGH URGENT CARE CENTRE,0.0,0.0,0,0
,NNJ0H,LLR EA - THE MERLYN VAZ HEALTH & SOCIAL CARE CENTRE,0.0,0.0,0,0
,NNJ12,MARKET HARBOROUGH,0.0,0.0,0,0
,NNJ13,MELTON MOWBRAY,0.0,0.0,0,0
,NNJ14,OADBY,0.0,0.0,0,0
,NNJ15,OAKHAM,0.0,0.0,0,0
,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,0.0,0.0,0,0
,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,10439.0,5440.0,81,4075
,RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,0.0,0.0,0,0
,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,13395.0,4049.0,56,5556
,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,0.0,0.0,0,0
,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,10112.0,1823.0,0,2630
,RV9,HUMBER TEACHING NHS FOUNDATION TRUST,0.0,0.0,0,0
,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,12017.0,5120.0,73,3536
,RXG,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,0.0,0.0,0,0
,RYF,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,0.0,0.0,0,0
,RYY,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,0.0,0.0,0,0
