period,org_code,org_name,ae_attendances_type_1,attendances_over_4hrs_type_1,patients_12hr_wait,emergency_admissions_type_1,postcode,latitude,longitude
2020-01-01,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,21420.0,4812.0,55,4533,NW3 2QG,51.553,-0.1657
2020-01-01,RBV,THE CHRISTIE NHS FOUNDATION TRUST,0.0,0.0,0,0,M20 4BX,53.4298,-2.2301
2020-01-01,Y02572,PARK COMMUNITY PRACTICE,0.0,0.0,0,0,OL14 5RN,53.7032,-2.0856
2020-01-01,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,11336.0,727.0,2,1872,E9 6SR,51.55,-0.046
2020-01-01,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,12674.0,4512.0,1,6320,HA1 3UJ,51.5815,-0.3422
2020-01-01,RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,7572.0,0.0,82,2857,PL6 8DH,50.4183,-4.1136
2020-01-01,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,11574.0,2567.0,0,3286,OX3 9DU,51.763,-1.2195
2020-01-01,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,14911.0,5287.0,246,6040,ST4 6QG,52.9956,-2.185
2020-01-01,RW1,SOUTHERN HEALTH NHS FOUNDATION TRUST,0.0,0.0,0,0,SO40 2RZ,50.9206,-1.5271
2020-01-01,Y02676,BRIGHTON STATION HEALTH CENTRE,0.0,0.0,0,0,BN1 3XE,50.8277,-0.1414
2020-01-01,R1F,ISLE OF WIGHT NHS TRUST,2501.0,1215.0,16,825,PO30 5TG,50.7097,-1.3046
2020-01-01,DD401,EXMOUTH MINOR INJURY UNIT,0.0,0.0,0,0,EX8 2JN,50.6205,-3.4016
2020-01-01,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,10357.0,2228.0,0,3129,RG1 5AN,51.4492,-0.958
2020-01-01,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,7187.0,3115.0,40,2073,CH49 5PE,53.3723,-3.093
2020-01-01,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,13941.0,1487.0,0,4528,TN2 4QJ,51.1491,0.3073
2020-01-01,C83023,SLEAFORD MEDICAL GROUP,0.0,0.0,0,0,NG34 7HD,52.9983,-0.4094
2020-01-01,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,9422.0,3922.0,411,2550,TF1 6AL,52.7179,-2.483
2020-01-01,RYX,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,0.0,0.0,0,0,NW1 5JD,51.5226,-0.1571
2020-01-01,NNF09,BRANSHOLME HEALTH CENTRE,0.0,0.0,0,0,HU7 4DW,53.7874,-0.3214
2020-01-01,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,20216.0,0.0,2,5270,GU16 7UJ,51.319,-0.7412
2020-01-01,R1H,BARTS HEALTH NHS TRUST,25529.0,7376.0,12,8799,E1 2ES,51.5172,-0.0561
2020-01-01,RWW,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,7007.0,2192.0,0,2971,WA5 1QG,53.393977,-2.610718
2020-01-01,AXG,WILTSHIRE HEALTH & CARE,0.0,0.0,0,0,SN1 2PA,51.569667,-1.759593
2020-01-01,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,15620.0,4789.0,0,5357,TN24 0LZ,51.141488,0.916209
2020-01-01,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,8681.0,2332.0,0,2831,M6 8HD,53.487548,-2.323425
2020-01-01,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,8946.0,1655.0,0,2619,RH1 5RH,51.219194,-0.162009
2020-01-01,RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,7631.0,1912.0,18,2148,CA2 7HY,54.9,-2.95
2020-01-01,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,6652.0,2726.0,120,2463,PR2 9HT,53.792,-2.706
2020-01-01,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,5999.0,1066.0,0,2362,GU2 7XX,51.241017,-0.607463
2020-01-01,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,13222.0,2433.0,11,2221,NW1 2BU,51.5218,-0.134
2020-01-01,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",7031.0,2799.0,78,2507,,,
2020-01-01,RDR,SUSSEX COMMUNITY NHS FOUNDATION TRUST,0.0,0.0,0,0,BN2 3EW,50.83046,-0.115477
2020-01-01,Y02816,EASTBOURNE STATION HEALTH CENTRE,0.0,0.0,0,0,BN21 3QJ,50.7687,0.2845
2020-01-01,Y03051,HASTINGS MED P & WALKIN,0.0,0.0,0,0,TN34 1BA,50.8574,0.5809
2020-01-01,RY7,WIRRAL COMMUNITY HEALTH AND CARE NHS FOUNDATION TRUST,0.0,0.0,0,0,CH42 0LQ,53.3726,-3.0144
2020-01-01,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,9652.0,2617.0,1,3457,SG1 4AB,51.9146,-0.2222
2020-01-01,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,11781.0,2451.0,0,3438,DN2 5LT,53.5306,-1.1042
2020-01-01,RJ6,CROYDON HEALTH SERVICES NHS TRUST,7605.0,3976.0,23,1666,CR9 2RS,51.381,-0.1035
2020-01-01,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,9273.0,2132.0,8,2102,TS4 3BW,54.552,-1.214
2020-01-01,RH5,SOMERSET PARTNERSHIP NHS FOUNDATION TRUST,0.0,0.0,0,0,TA6 4RN,51.1469,-2.9959
2020-01-01,NDA57,HASLEMERE MINOR INJURIES UNIT,0.0,0.0,0,0,GU27 2BJ,51.0906,-0.719
2020-01-01,RA3,WESTON AREA HEALTH NHS TRUST,4037.0,1271.0,257,1215,BS23 4TQ,51.3212,-2.9714
2020-01-01,RPA,MEDWAY NHS FOUNDATION TRUST,7900.0,2236.0,34,2430,ME7 5NY,51.3823,0.5533
2020-01-01,Y02147,URGENT CARE CENTRE (QMS),0.0,0.0,0,0,DA14 6LT,51.4263,0.1083
2020-01-01,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,7356.0,1816.0,0,2877,KT2 7QB,51.4145,-0.2816
2020-01-01,RY2,BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,0.0,0.0,0,0,WA5 7TY,53.3921,-2.611
2020-01-01,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,7790.0,2217.0,25,2105,LA9 7RG,54.312,-2.7385
2020-01-01,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,8597.0,2816.0,0,3562,TN37 7PT,50.8736,0.5592
2020-01-01,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,10044.0,2159.0,11,3380,BS1 3NU,51.4595,-2.593
2020-01-01,RWJ,STOCKPORT NHS FOUNDATION TRUST,8068.0,2902.0,174,2551,SK2 7JE,53.3744,-2.1326
2020-01-01,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,13171.0,2856.0,8,3368,SM5 1AA,51.3803,-0.1836
2020-01-01,RYG,COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST,0.0,0.0,0,0,CV6 6NY,52.4606,-1.4726
2020-01-01,NR3,NOTTINGHAM CITYCARE PARTNERSHIP,0.0,0.0,0,0,NG6 8WR,52.9972,-1.188
2020-01-01,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,0.0,0.0,0,0,RH19 3DZ,51.1353,0.0018
2020-01-01,NTV0W,WOKING WALK IN CENTRE,0.0,0.0,0,0,GU22 7HS,51.315,-0.5565
2020-01-01,NNF94,EAST RIDING COMMUNITY HOSPITAL,0.0,0.0,0,0,HU17 0FA,53.8528,-0.4132
2020-01-01,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,5916.0,3159.0,37,2321,FY3 8NR,53.805,-3.007
2020-01-01,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,4773.0,317.0,0,1685,BA21 4AT,50.9447,-2.6345
2020-01-01,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,13574.0,3947.0,21,3624,BN2 5BE,50.8182,-0.1168
2020-01-01,Y02615,SOUTH BIRMINGHAM GP WALK IN CENTRE,0.0,0.0,0,0,B29 6JG,52.4384,-1.9384
2020-01-01,Y00751,EAST BERKS PRIMARY CARE OOH(WAM),0.0,0.0,0,0,RG12 1YQ,51.4144,-0.7539
2020-01-01,C82010,OAKHAM MEDICAL PRACTICE,0.0,0.0,0,0,LE15 6NT,52.6708,-0.7375
2020-01-01,NNFA7,GOOLE & DISTRICT HOSPITAL,0.0,0.0,0,0,DN14 6RX,53.7155,-0.8749
2020-01-01,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,13366.0,3823.0,0,3801,PE3 9GZ,52.5965,-0.2701
2020-01-01,Y01069,DR LOCAL CARE DIRECT OOH,0.0,0.0,0,0,HD2 1GQ,53.6701,-1.7827
2020-01-01,Y01231,DR LOCAL CARE DIRECT OOH,0.0,0.0,0,0,HD2 1GQ,53.6701,-1.7827
2020-01-01,NNF76,THE WILBERFORCE HEALTH CENTRE,0.0,0.0,0,0,HU1 3SA,53.7462,-0.3421
2020-01-01,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,5687.0,0.0,8,1711,BH15 2JB,50.7215,-1.9735
2020-01-01,RY9,HOUNSLOW AND RICHMOND COMMUNITY HEALTHCARE NHS TRUST,0.0,0.0,0,0,TW11 8HU,51.4275,-0.3266
2020-01-01,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,6465.0,1146.0,0,1457,NR31 6LA,52.5617,1.7177
2020-01-01,M85813,BIRMINGHAM WIC,0.0,0.0,0,0,B5 7EG,52.4713,-1.892
2020-01-01,RT3,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,0.0,0.0,0,0,SW3 6NP,51.4897,-0.1709
2020-01-01,L83087,OKEHAMPTON MEDICAL CENTRE,0.0,0.0,0,0,EX20 1AY,50.7391,-3.9997
