org_name, postcode, latitude, longitude
ROYAL FREE LONDON NHS FOUNDATION TRUST,NW3 2QG,	51.5530, -0.1657
THE CHRISTIE NHS FOUNDATION TRUST,M20 4BX, 53.4298, -2.2301
PARK COMMUNITY PRACTICE,OL14 5RN,53.7032,-2.0856
HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,E9 6SR,51.5500,-0.0460
LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,HA1 3UJ,51.5815,-0.3422
UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,PL6 8DH,50.4183,-4.1136
OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,OX3 9DU,51.7630,-1.2195
UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,ST4 6QG,52.9956,-2.1850
SOUTHERN HEALTH NHS FOUNDATION TRUST,SO40 2RZ,50.9206,-1.5271
BRIGHTON STATION HEALTH CENTRE,BN1 3XE,50.8277,-0.1414
ISLE OF WIGHT NHS TRUST,PO30 5TG,50.7097,-1.3046
EXMOUTH MINOR INJURY UNIT,EX8 2JN,50.6205,-3.4016
ROYAL BERKSHIRE NHS FOUNDATION TRUST,RG1 5AN,51.4492,-0.9580
WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,CH49 5PE,53.3723,-3.0930
MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,TN2 4QJ,51.1491,0.3073
SLEAFORD MEDICAL GROUP,NG34 7HD,52.9983,-0.4094
SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,TF1 6AL,52.7179,-2.4830
CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,NW1 5JD,51.5226,-0.1571
BRANSHOLME HEALTH CENTRE,HU7 4DW,53.7874,-0.3214
FRIMLEY HEALTH NHS FOUNDATION TRUST,GU16 7UJ,51.3190,-0.7412
BARTS HEALTH NHS TRUST,E1 2ES,51.5172,-0.0561
WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,WA5 1QG,53.393977,-2.610718
WILTSHIRE HEALTH & CARE,SN1 2PA,51.569667,-1.759593
EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,TN24 0LZ,51.141488,0.916209
SALFORD ROYAL NHS FOUNDATION TRUST,M6 8HD,53.487548,-2.323425
SURREY AND SUSSEX HEALTHCARE NHS TRUST,RH1 5RH,51.219194,-0.162009
NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,CA2 7HY,54.9000,-2.9500
LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,PR2 9HT,53.7920,-2.7060
ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,GU2 7XX,51.241017,-0.607463
UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,NW1 2BU,51.5218,-0.1340
WRIGHTINGTON WIGAN AND LEIGH NHS FOUNDATION TRUST,WN1 2NN,53.5536,-2.6379
SUSSEX COMMUNITY NHS FOUNDATION TRUST,BN2 3EW,50.83046,-0.115477
EASTBOURNE STATION HEALTH CENTRE,BN21 3QJ,50.7687,0.2845
HASTINGS MED P & WALKIN,TN34 1BA,50.8574,0.5809
WIRRAL COMMUNITY HEALTH AND CARE NHS FOUNDATION TRUST,CH42 0LQ,53.3726,-3.0144
EAST AND NORTH HERTFORDSHIRE NHS TRUST,SG1 4AB,51.9146,-0.2222
DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,DN2 5LT,53.5306,-1.1042
CROYDON HEALTH SERVICES NHS TRUST,CR9 2RS,51.3810,-0.1035
SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,TS4 3BW,54.5520,-1.2140
SOMERSET PARTNERSHIP NHS FOUNDATION TRUST,TA6 4RN,51.1469,-2.9959
HASLEMERE MINOR INJURIES UNIT,GU27 2BJ,51.0906,-0.7190
WESTON AREA HEALTH NHS TRUST,BS23 4TQ,51.3212,-2.9714
MEDWAY NHS FOUNDATION TRUST,ME7 5NY,51.3823,0.5533
URGENT CARE CENTRE (QMS),DA14 6LT,51.4263,0.1083
KINGSTON HOSPITAL NHS FOUNDATION TRUST,KT2 7QB,51.4145,-0.2816
BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,WA5 7TY,53.3921,-2.6110
UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,LA9 7RG,54.3120,-2.7385
EAST SUSSEX HEALTHCARE NHS TRUST,TN37 7PT,50.8736,0.5592
UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,BS1 3NU,51.4595,-2.5930
STOCKPORT NHS FOUNDATION TRUST,SK2 7JE,53.3744,-2.1326
EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,SM5 1AA,51.3803,-0.1836
COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST,CV6 6NY,52.4606,-1.4726
NOTTINGHAM CITYCARE PARTNERSHIP,NG6 8WR,52.9972,-1.1880
QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,RH19 3DZ,51.1353,0.0018
WOKING WALK IN CENTRE,GU22 7HS,51.3150,-0.5565
EAST RIDING COMMUNITY HOSPITAL,HU17 0FA,53.8528,-0.4132
BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,FY3 8NR,53.8050,-3.0070
YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,BA21 4AT,50.9447,-2.6345
BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,BN2 5BE,50.8182,-0.1168
SOUTH BIRMINGHAM GP WALK IN CENTRE,B29 6JG,52.4384,-1.9384
EAST BERKS PRIMARY CARE OOH(WAM),RG12 1YQ,51.4144,-0.7539
OAKHAM MEDICAL PRACTICE,LE15 6NT,52.6708,-0.7375
GOOLE & DISTRICT HOSPITAL,DN14 6RX,53.7155,-0.8749
NORTH WEST ANGLIA NHS FOUNDATION TRUST,PE3 9GZ,52.5965,-0.2701
DR LOCAL CARE DIRECT OOH,HD2 1GQ,53.6701,-1.7827
THE WILBERFORCE HEALTH CENTRE,HU1 3SA,53.7462,-0.3421
POOLE HOSPITAL NHS FOUNDATION TRUST,BH15 2JB,50.7215,-1.9735
HOUNSLOW AND RICHMOND COMMUNITY HEALTHCARE NHS TRUST,TW11 8HU,51.4275,-0.3266
JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NR31 6LA,52.5617,1.7177
BIRMINGHAM WIC,B5 7EG,52.4713,-1.8920
ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,SW3 6NP,51.4897,-0.1709
OKEHAMPTON MEDICAL CENTRE,EX20 1AY,50.7391,-3.9997
BEDFORD HOSPITAL NHS TRUST,MK42 9DJ,52.1289,-0.4717
SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,S10 2TH,53.3792,-1.4920
SOUTHAMPTON NHS TREATMENT CENTRE,SO14 0YG,50.9122,-1.3961
SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,SS0 0RY,51.5540,0.6877
KINGS PARK SURGERY,G44 4JE,55.8183,-4.2554
ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,HA7 4LP,51.6320,-0.3050
SUMMERFIELD GP SURG & URGENT CARE CENTRE,B18 7AL,52.4921,-1.9302
